experience_level,job_title,salary_in_usd,remote_ratio,company_location,company_size
Intermediario,Data Analyst,50 000 - 100 000,presencial,United States,Pequena
Senior,Data Engineer,100 000 - 300 000,distancia,United States,Grande
Intermediario,Data Analyst,50 000 - 100 000,distancia,United Kingdom,Média
Senior,Data Scientist,100 000 - 300 000,distancia,United States,Média
Intermediario,Data Scientist,50 000 - 100 000,presencial,United Kingdom,Média
Intermediario,Data Scientist,2 859 -  50 000,presencial,United Kingdom,Média
Intermediario,Data Engineer,50 000 - 100 000,distancia,Greece,Média
Intermediario,Data Engineer,2 859 -  50 000,distancia,Greece,Média
Intermediario,Data Engineer,50 000 - 100 000,distancia,United Kingdom,Média
Intermediario,Data Engineer,50 000 - 100 000,distancia,United Kingdom,Média
Senior,Data Scientist,100 000 - 300 000,distancia,United States,Média
Senior,Data Science Engineer,50 000 - 100 000,distancia,Mexico,Grande
Intermediario,Data Engineer,50 000 - 100 000,presencial,United States,Média
Intermediario,Machine Learning Scientist,100 000 - 300 000,distancia,United States,Grande
Intermediario,Machine Learning Scientist,100 000 - 300 000,distancia,United States,Grande
Intermediario,Data Science Manager,100 000 - 300 000,distancia,United States,Média
Intermediario,Data Science Manager,100 000 - 300 000,distancia,United States,Média
Senior,Data Scientist,100 000 - 300 000,presencial,United States,Média
Senior,Data Scientist,50 000 - 100 000,presencial,United States,Média
Intermediario,Data Engineer,50 000 - 100 000,presencial,United States,Média
Senior,Data Engineer,100 000 - 300 000,distancia,United States,Grande
Intermediario,Data Engineer,2 859 -  50 000,distancia,Spain,Média
Senior,Data Scientist,100 000 - 300 000,presencial,United States,Grande
Intermediario,Data Analyst,2 859 -  50 000,distancia,United Kingdom,Média
Intermediario,Data Analyst,2 859 -  50 000,distancia,Spain,Média
Intermediario,Data Analyst,2 859 -  50 000,distancia,Spain,Média
Intermediario,Data Engineer,50 000 - 100 000,distancia,Spain,Média
Intermediario,Data Engineer,50 000 - 100 000,distancia,Spain,Média
Intermediario,Data Engineer,100 000 - 300 000,distancia,United Kingdom,Média
Intermediario,Data Engineer,50 000 - 100 000,distancia,United Kingdom,Média
Intermediario,Data Engineer,50 000 - 100 000,distancia,Spain,Média
Intermediario,Data Engineer,50 000 - 100 000,distancia,Greece,Média
Senior,Machine Learning Engineer,100 000 - 300 000,presencial,United States,Média
Senior,Machine Learning Engineer,100 000 - 300 000,presencial,United States,Média
Intermediario,Data Analyst,2 859 -  50 000,distancia,Greece,Média
Intermediario,Data Analyst,2 859 -  50 000,distancia,Greece,Média
Intermediario,Data Engineer,50 000 - 100 000,distancia,United Kingdom,Média
Intermediario,Data Engineer,50 000 - 100 000,distancia,United Kingdom,Média
Senior,Data Scientist,100 000 - 300 000,presencial,United States,Grande
Intermediario,Data Engineer,50 000 - 100 000,distancia,Greece,Média
Senior,Data Engineer,100 000 - 300 000,distancia,United States,Grande
Senior,Data Engineer,100 000 - 300 000,distancia,United States,Grande
Senior,Data Engineer,100 000 - 300 000,distancia,United States,Média
Junior,ML Engineer,2 859 -  50 000,distancia,Portugal,Grande
Senior,Data Engineer,50 000 - 100 000,distancia,United States,Média
Intermediario,Machine Learning Developer,50 000 - 100 000,distancia,Canada,Média
Diretor,Director of Data Science,100 000 - 300 000,parcial,Canada,Grande
Intermediario,Machine Learning Engineer,100 000 - 300 000,distancia,United States,Pequena
Junior,Computer Vision Engineer,100 000 - 300 000,presencial,United States,Média
Intermediario,NLP Engineer,2 859 -  50 000,parcial,United States,Grande
Senior,Data Engineer,100 000 - 300 000,distancia,United States,Média
Senior,Lead Machine Learning Engineer,50 000 - 100 000,presencial,Germany,Média
Intermediario,Business Data Analyst,2 859 -  50 000,distancia,India,Média
Intermediario,Data Scientist,2 859 -  50 000,distancia,India,Grande
Intermediario,Machine Learning Infrastructure Engineer,50 000 - 100 000,parcial,Portugal,Grande
Junior,Financial Data Analyst,100 000 - 300 000,parcial,United States,Grande
Intermediario,Data Engineer,50 000 - 100 000,parcial,Germany,Grande
Junior,Data Scientist,2 859 -  50 000,distancia,India,Média
Senior,Principal Data Scientist,100 000 - 300 000,distancia,Germany,Média
Junior,Data Engineer,100 000 - 300 000,distancia,United States,Média
Senior,Research Scientist,100 000 - 300 000,parcial,United States,Grande
Senior,Data Scientist,100 000 - 300 000,distancia,United States,Média
Senior,Data Engineer,100 000 - 300 000,distancia,United States,Média
Senior,Data Scientist,100 000 - 300 000,distancia,United States,Média
Intermediario,Data Analyst,100 000 - 300 000,distancia,United States,Média
Intermediario,Data Analyst,50 000 - 100 000,distancia,United States,Média
Senior,Data Scientist,100 000 - 300 000,distancia,United States,Média
Senior,Data Scientist,100 000 - 300 000,distancia,United States,Média
Intermediario,Data Scientist,100 000 - 300 000,presencial,United Kingdom,Média
Intermediario,Data Scientist,50 000 - 100 000,presencial,United Kingdom,Média
Senior,Data Scientist,100 000 - 300 000,distancia,United States,Média
Senior,Machine Learning Engineer,100 000 - 300 000,distancia,United States,Média
Intermediario,Data Scientist,100 000 - 300 000,distancia,United States,Média
Intermediario,Data Scientist,100 000 - 300 000,distancia,United States,Média
Senior,Machine Learning Engineer,100 000 - 300 000,distancia,United Arab Emirates,Pequena
Senior,Machine Learning Engineer,50 000 - 100 000,distancia,United Arab Emirates,Pequena
Diretor,Data Engineer,300 000 - 600 000,distancia,United States,Média
Diretor,Data Engineer,100 000 - 300 000,distancia,United States,Média
Senior,Data Engineer,100 000 - 300 000,distancia,United States,Média
Senior,Machine Learning Engineer,100 000 - 300 000,distancia,United States,Média
Senior,Data Scientist,100 000 - 300 000,distancia,United States,Média
Junior,Data Scientist,100 000 - 300 000,parcial,Algeria,Média
Intermediario,Data Scientist,100 000 - 300 000,distancia,United States,Média
Junior,Applied Machine Learning Scientist,2 859 -  50 000,distancia,Czechia,Média
Senior,Head of Data,100 000 - 300 000,distancia,United States,Média
Intermediario,Principal Data Analyst,50 000 - 100 000,distancia,Canada,Pequena
Intermediario,Data Scientist,2 859 -  50 000,distancia,Poland,Grande
Senior,Machine Learning Developer,50 000 - 100 000,distancia,Canada,Média
Senior,Data Scientist,100 000 - 300 000,distancia,United States,Média
Intermediario,Machine Learning Scientist,100 000 - 300 000,parcial,United States,Média
Junior,Data Engineer,50 000 - 100 000,distancia,Germany,Média
Senior,Data Scientist,100 000 - 300 000,distancia,United States,Média
Senior,Research Scientist,50 000 - 100 000,parcial,France,Grande
Junior,Data Scientist,50 000 - 100 000,distancia,Canada,Grande
Senior,Machine Learning Engineer,50 000 - 100 000,distancia,Netherlands,Grande
Intermediario,Head of Data,2 859 -  50 000,distancia,Estonia,Pequena
Junior,Data Scientist,2 859 -  50 000,distancia,Malaysia,Grande
Intermediario,Machine Learning Engineer,50 000 - 100 000,distancia,Australia,Grande
Senior,Data Engineer,100 000 - 300 000,distancia,United States,Média
Junior,Data Scientist,50 000 - 100 000,parcial,Australia,Média
Intermediario,Applied Machine Learning Scientist,50 000 - 100 000,distancia,United States,Grande
Intermediario,Research Scientist,50 000 - 100 000,presencial,Austria,Grande
Junior,Research Scientist,100 000 - 300 000,distancia,United States,Grande
Intermediario,Applied Data Scientist,100 000 - 300 000,distancia,United States,Grande
Junior,Computer Vision Software Engineer,100 000 - 300 000,distancia,Australia,Pequena
Intermediario,Business Data Analyst,50 000 - 100 000,parcial,Canada,Grande
Junior,Data Engineer,50 000 - 100 000,distancia,United States,Pequena
Senior,Machine Learning Engineer,50 000 - 100 000,distancia,Ireland,Pequena
Junior,Data Analytics Engineer,2 859 -  50 000,presencial,Pakistan,Média
Intermediario,Data Scientist,2 859 -  50 000,distancia,United States,Pequena
Senior,Data Science Manager,100 000 - 300 000,distancia,United States,Média
Intermediario,Data Engineer,50 000 - 100 000,distancia,France,Média
Intermediario,Data Scientist,100 000 - 300 000,presencial,Switzerland,Grande
Senior,Applied Data Scientist,300 000 - 600 000,distancia,United States,Grande
Intermediario,Data Scientist,50 000 - 100 000,distancia,Canada,Média
Junior,Computer Vision Engineer,2 859 -  50 000,distancia,Luxembourg,Média
Intermediario,Data Analyst,2 859 -  50 000,distancia,Greece,Pequena
Senior,Data Analytics Lead,300 000 - 600 000,distancia,United States,Grande
Intermediario,Data Scientist,100 000 - 300 000,distancia,United States,Grande
Senior,Applied Data Scientist,100 000 - 300 000,distancia,United States,Grande
Intermediario,Data Scientist,50 000 - 100 000,distancia,United States,Média
Senior,Data Analyst,100 000 - 300 000,distancia,United States,Média
Senior,Data Analyst,100 000 - 300 000,distancia,United States,Média
Senior,Data Analyst,50 000 - 100 000,distancia,United States,Média
Intermediario,Data Analyst,50 000 - 100 000,presencial,Canada,Média
Intermediario,Data Analyst,50 000 - 100 000,presencial,Canada,Média
Senior,Machine Learning Engineer,100 000 - 300 000,distancia,United States,Média
Senior,Machine Learning Engineer,100 000 - 300 000,distancia,United States,Média
Senior,Data Architect,100 000 - 300 000,distancia,United States,Média
Senior,Data Architect,100 000 - 300 000,distancia,United States,Média
Senior,Data Analyst,100 000 - 300 000,distancia,United States,Média
Senior,Data Engineer,100 000 - 300 000,distancia,United States,Média
Intermediario,Data Scientist,100 000 - 300 000,presencial,United States,Média
Intermediario,Data Scientist,100 000 - 300 000,presencial,United States,Média
Senior,Data Analyst,100 000 - 300 000,distancia,United States,Média
Senior,Data Analyst,50 000 - 100 000,distancia,United States,Média
Intermediario,Data Engineer,100 000 - 300 000,presencial,United States,Média
Intermediario,Data Engineer,50 000 - 100 000,presencial,United States,Média
Senior,Data Engineer,100 000 - 300 000,distancia,United States,Média
Senior,Data Engineer,100 000 - 300 000,distancia,United States,Média
Senior,Data Engineer,100 000 - 300 000,distancia,United States,Média
Senior,Data Engineer,100 000 - 300 000,distancia,United States,Média
Senior,Data Analyst,50 000 - 100 000,distancia,United States,Média
Senior,Data Engineer,100 000 - 300 000,distancia,United States,Média
Senior,Data Scientist,100 000 - 300 000,presencial,United States,Grande
Senior,Data Scientist,100 000 - 300 000,presencial,United States,Grande
Senior,Data Scientist,100 000 - 300 000,distancia,United States,Média
Senior,Data Scientist,100 000 - 300 000,distancia,United States,Média
Senior,Data Engineer,100 000 - 300 000,distancia,United States,Média
Senior,Data Engineer,100 000 - 300 000,distancia,United States,Média
Senior,Data Engineer,100 000 - 300 000,distancia,United States,Média
Senior,Data Engineer,50 000 - 100 000,presencial,United States,Média
Senior,Data Scientist,100 000 - 300 000,presencial,United States,Média
Senior,Data Scientist,100 000 - 300 000,presencial,United States,Média
Senior,Analytics Engineer,100 000 - 300 000,presencial,United States,Média
Senior,Analytics Engineer,100 000 - 300 000,presencial,United States,Média
Senior,Data Engineer,100 000 - 300 000,distancia,United States,Média
Senior,Data Engineer,100 000 - 300 000,distancia,United States,Média
Senior,Data Analyst,100 000 - 300 000,distancia,United States,Média
Senior,Data Engineer,50 000 - 100 000,presencial,United States,Média
Senior,Data Analyst,100 000 - 300 000,distancia,United States,Média
Intermediario,Data Analyst,50 000 - 100 000,presencial,United Kingdom,Média
Senior,Data Analyst,50 000 - 100 000,distancia,United States,Média
Senior,Data Scientist,100 000 - 300 000,distancia,United States,Média
Senior,Data Scientist,100 000 - 300 000,distancia,United States,Média
Senior,Data Scientist,100 000 - 300 000,distancia,United States,Média
Senior,Data Analyst,100 000 - 300 000,distancia,United States,Média
Senior,Data Analyst,50 000 - 100 000,distancia,United States,Média
Senior,Data Scientist,100 000 - 300 000,distancia,United States,Média
Senior,Data Scientist,100 000 - 300 000,distancia,United States,Média
Senior,Data Scientist,100 000 - 300 000,distancia,United States,Média
Senior,Data Analyst,100 000 - 300 000,distancia,United States,Média
Senior,Data Engineer,100 000 - 300 000,distancia,United States,Média
Senior,Data Engineer,2 859 -  50 000,distancia,United States,Média
Senior,Data Analyst,100 000 - 300 000,distancia,United States,Média
Senior,Data Analyst,100 000 - 300 000,distancia,United States,Média
Senior,Data Engineer,100 000 - 300 000,distancia,United States,Média
Senior,Data Engineer,100 000 - 300 000,distancia,United States,Média
Senior,Data Analyst,100 000 - 300 000,distancia,United States,Média
Senior,Data Analyst,100 000 - 300 000,distancia,United States,Média
Intermediario,Data Analyst,2 859 -  50 000,presencial,United Kingdom,Média
Senior,Data Scientist,100 000 - 300 000,distancia,United States,Média
Senior,Data Analyst,50 000 - 100 000,presencial,United States,Média
Senior,Data Analyst,50 000 - 100 000,distancia,United States,Média
Senior,Data Architect,100 000 - 300 000,distancia,United States,Média
Senior,Data Architect,100 000 - 300 000,distancia,United States,Média
Senior,Data Scientist,100 000 - 300 000,distancia,United States,Média
Senior,Data Scientist,100 000 - 300 000,distancia,United States,Média
Senior,Data Analytics Manager,100 000 - 300 000,distancia,United States,Média
Senior,Data Analytics Manager,100 000 - 300 000,distancia,United States,Média
Senior,Data Scientist,100 000 - 300 000,distancia,United States,Média
Senior,Data Analyst,100 000 - 300 000,distancia,United States,Média
Intermediario,Data Scientist,100 000 - 300 000,distancia,United States,Média
Intermediario,Data Scientist,100 000 - 300 000,distancia,United States,Média
Junior,Data Analyst,50 000 - 100 000,presencial,Canada,Média
Junior,Data Analyst,50 000 - 100 000,presencial,Canada,Média
Senior,Data Engineer,100 000 - 300 000,distancia,United States,Média
Senior,Data Engineer,100 000 - 300 000,distancia,United States,Média
Senior,Data Analyst,100 000 - 300 000,presencial,United States,Média
Senior,Data Analyst,100 000 - 300 000,distancia,United States,Média
Intermediario,AI Scientist,100 000 - 300 000,distancia,United States,Grande
